book_name,book_rate,book_rate_number,book_narrator,book_time
21. Iron Flame (Part 2 of 2) (Dramatized Adaptation),5 out of 5 stars,665 ratings,"Narrated by: Laura C. Harris, Khaya Fraites, Taylor Coan, K’Lai Rivera, Robb Moreira, Torian Brackett, Gabriel Michael, Marni Penning, Megan Poppy, LaMont Ridgell, Danny Gavigan, full cast",Length: 9 hrs and 27 mins
22. Self Help,4.5 out of 5 stars,6 ratings,"Narrated by: Gabrielle Bernstein, Richard C. Schwartz - foreword",Length: 6 hrs and 1 min
23. A Court of Mist and Fury,5 out of 5 stars,"51,054 ratings",Narrated by: Jennifer Ikeda,Length: 23 hrs and 16 mins
24. 48 Laws of Power,4.5 out of 5 stars,"24,957 ratings",Narrated by: Richard Poe,Length: 23 hrs and 6 mins
25. Listen for the Lie,4.5 out of 5 stars,"13,729 ratings","Narrated by: January LaVoy, Will Damron",Length: 9 hrs and 18 mins
26. The Psychology of Money,5 out of 5 stars,"22,277 ratings",Narrated by: Chris Hill,Length: 5 hrs and 54 mins
27. Greenlights,5 out of 5 stars,"178,240 ratings",Narrated by: Matthew McConaughey,Length: 6 hrs and 51 mins
28. All the Colors of the Dark,4.5 out of 5 stars,"9,490 ratings",Narrated by: Edoardo Ballerini,Length: 14 hrs and 37 mins
29. The Nightingale,5 out of 5 stars,"102,368 ratings",Narrated by: Polly Stone,Length: 17 hrs and 19 mins
30. Project Hail Mary,5 out of 5 stars,"184,434 ratings",Narrated by: Ray Porter,Length: 16 hrs and 10 mins
31. Verity,4.5 out of 5 stars,"126,698 ratings","Narrated by: Vanessa Johansson, Amy Landon",Length: 8 hrs and 10 mins
32. The Housemaid's Secret,4.5 out of 5 stars,"12,924 ratings",Narrated by: Lauryn Allman,Length: 9 hrs and 44 mins
33. The Mountain Is You,4.5 out of 5 stars,"8,015 ratings",Narrated by: Stacey Glemboski,Length: 5 hrs and 44 mins
34. A Court of Wings and Ruin,5 out of 5 stars,"38,878 ratings",Narrated by: Amanda Leigh Cobb,Length: 25 hrs and 9 mins
35. Be Ready When the Luck Happens,5 out of 5 stars,"2,472 ratings",Narrated by: Ina Garten,Length: 8 hrs and 47 mins
36. The Subtle Art of Not Giving a F*ck,4.5 out of 5 stars,"174,409 ratings",Narrated by: Roger Wayne,Length: 5 hrs and 17 mins
37. The 5AM Club,4 out of 5 stars,"14,210 ratings",Narrated by: Adam Verner,Length: 11 hrs and 4 mins
38. The Way of Kings,5 out of 5 stars,"107,353 ratings","Narrated by: Kate Reading, Michael Kramer",Length: 45 hrs and 30 mins
39. The Courage to Be Disliked,4.5 out of 5 stars,"7,779 ratings","Narrated by: Noah Galvin, Graeme Malcolm, January LaVoy",Length: 6 hrs and 29 mins
40. How to Talk to Anyone,4 out of 5 stars,"13,175 ratings","Narrated by: Joyce Bean, Leil Lowndes",Length: 8 hrs and 59 mins
41. We Who Wrestle with God,4.5 out of 5 stars,287 ratings,Narrated by: Jordan B. Peterson,Length: 25 hrs and 13 mins
42. First Lie Wins,4.5 out of 5 stars,"22,158 ratings",Narrated by: Saskia Maarleveld,Length: 9 hrs and 16 mins
43. Butcher & Blackbird,4.5 out of 5 stars,"22,044 ratings","Narrated by: Joe Arden, Lucy Rivers",Length: 8 hrs and 43 mins
